time,w,a,s,d
11193.970820999,0.01,0.01,0.03,0.01
11194.061065751,0.05,0.02,0.14,0.01
11194.150956216,0.1,0.01,0.14,0.03
11194.236740313,0.11,0.01,0.17,0.1
11194.326995565,0.06,0.02,0.03,0.09
11194.417177839,0.17,0.03,0.08,0.06
11194.507041845,0.12,0.01,0.02,0.05
11194.597578375,0.15,0.0,0.03,0.05
11194.687671842,0.05,0.01,0.14,0.1
11194.77760082,0.06,0.0,0.16,0.09
11194.863484394,0.09,0.0,0.09,0.08
11194.953479977,0.03,0.0,0.0,0.05
11195.043824256,0.08,0.01,0.01,0.02
11195.133918756,0.12,0.03,0.09,0.07
11195.223838146,0.1,0.02,0.03,0.23
11195.31391972,0.08,0.01,0.04,0.02
11195.404043034,0.13,0.03,0.11,0.04
11195.489977183,0.07,0.02,0.06,0.06
11195.580357279,0.23,0.0,0.0,0.11
11195.67047374,0.06,0.02,0.11,0.09
11195.760708062,0.12,0.0,0.17,0.04
11195.850512156,0.04,0.0,0.05,0.02
11195.940894957,0.07,0.02,0.09,0.07
11196.030964449,0.07,0.02,0.04,0.07
11196.117141916,0.0,0.01,0.13,0.06
11196.207208573,0.02,0.01,0.01,0.22
11196.297188747,0.05,0.03,0.17,0.19
11196.387228614,0.14,0.0,0.11,0.09
11196.477595766,0.05,3.09,0.31,0.23
11196.567487523,0.09,56.12,0.39,0.28
11196.657398297,0.15,183.73,0.06,0.12
11196.743582987,0.12,252.86,0.47,0.09
11196.833741196,0.13,278.26,28.78,0.14
11196.923759983,0.14,316.39,163.23,0.04
11197.0136884,0.01,226.18,251.46,0.19
11197.103873781,0.04,46.59,229.02,0.14
11197.194110547,0.05,0.09,225.64,0.07
11197.284209525,3.56,0.45,194.89,0.17
11197.370049266,52.0,0.14,67.27,0.02
11197.460478956,163.73,0.13,3.46,0.06
11197.55065036,218.16,0.07,0.57,0.04
11197.640813518,221.36,0.06,0.6,6.7
11197.730897658,239.74,0.12,0.47,61.49
11197.820687775,245.59,0.42,0.19,146.08
11197.914890397,156.84,0.31,0.4,173.18
11198.005289939,33.05,0.01,0.2,149.82
11198.094981291,0.71,0.01,0.52,116.21
11198.189454812,0.25,3.62,0.93,92.72
11198.279622258,0.14,48.76,1.23,86.67
11198.3737666,0.26,153.25,0.15,113.94
11198.464135215,0.2,243.67,0.43,64.05
11198.553984092,0.02,177.36,0.61,16.75
11198.648218083,0.04,41.33,0.39,63.72
11198.738392262,0.21,44.76,1.16,88.7
11198.82831021,0.25,129.34,1.38,59.86
11198.922525165,0.17,134.47,1.53,55.51
11199.012578978,0.11,117.51,1.22,97.93
11199.106851391,0.18,169.5,0.26,118.53
11199.197163669,0.16,210.9,0.06,42.21
11199.287202533,0.27,92.95,0.03,21.68
11199.381277816,0.21,17.6,0.18,64.87
11199.471403043,0.05,129.29,0.04,103.48
11199.561625824,0.15,292.48,0.06,157.36
11199.655810261,0.04,46.52,0.19,176.79
11199.745640133,0.14,10.82,0.22,66.04
11200.139031148,137.92,2.0,136.37,2.83
11200.229499991,131.46,1.99,60.83,2.36
11200.319346334,59.54,1.88,6.81,0.19
11200.41343407,3.06,1.78,0.27,1.31
11200.503521075,0.24,1.72,0.37,51.84
11200.593659136,14.14,1.69,0.38,200.61
11200.683757523,48.53,1.68,0.51,303.28
11200.773994068,87.59,1.63,0.79,335.41
11200.864148931,72.85,1.55,0.64,45.24
11200.954055447,12.73,2.86,0.57,55.08
11201.044137173,0.27,54.71,0.51,160.98
11201.134498194,0.22,149.59,0.59,217.73
11201.224504206,0.27,168.88,0.75,192.05
11201.314599758,0.35,73.61,0.73,53.22
